Key,en,es,ar,fr
Oops! Basic setting not found!,Oops! Basic setting not found!,¡Ups! ¡Configuración básica no encontrada!,أُووبس! لم يتم العثور على الإعداد الأساسي!,Oops! Paramètre de base introuvable !
Push notification configuration updated successfully!,Push notification configuration updated successfully!,¡La configuración de notificaciones push se actualizó correctamente!,تم تحديث تكوين إشعار الدفع بنجاح!,Configuration des notifications push mise à jour avec succès !
Receiver Countries,Receiver Countries,Países receptores,الدول المستقبلة,Pays récepteurs
Country Saved Successfully!,Country Saved Successfully!,¡País salvado con éxito!,تم حفظ البلد بنجاح!,Pays enregistré avec succès !
Country not found!,Country not found!,¡País no encontrado!,لم يتم العثور على البلد!,Pays introuvable !
Country deleted successfully!,Country deleted successfully!,¡País eliminado correctamente!,تم حذف البلد بنجاح!,Pays supprimé avec succès !
Country record not found in our system.,Country record not found in our system.,Registro de país no encontrado en nuestro sistema.,سجل الدولة غير موجود في نظامنا.,Enregistrement de pays introuvable dans notre système.
Country status updated successfully!,Country status updated successfully!,¡El estado del país se actualizó exitosamente!,تم تحديث حالة البلد بنجاح!,Statut du pays mis à jour avec succès !
Bank Deposit Type,Bank Deposit Type,Tipo de depósito bancario,نوع الإيداع البنكي,Type de dépôt bancaire
Bank Already Exists!,Bank Already Exists!,¡El banco ya existe!,البنك موجود بالفعل!,La banque existe déjà !
Bank Saved Successfully!,Bank Saved Successfully!,¡Banco guardado con éxito!,تم حفظ البنك بنجاح!,Banque enregistrée avec succès !
Bank Updated Successfully!,Bank Updated Successfully!,¡Banco actualizado con éxito!,تم تحديث البنك بنجاح!,Banque mise à jour avec succès !
Bank record not found in our system.,Bank record not found in our system.,Registro bancario no encontrado en nuestro sistema.,السجل البنكي غير موجود في نظامنا.,Relevé bancaire introuvable dans notre système.
Bank status updated successfully!,Bank status updated successfully!,¡El estado del banco se actualizó exitosamente!,تم تحديث حالة البنك بنجاح!,Statut bancaire mis à jour avec succès !
Bank deleted successfully!,Bank deleted successfully!,¡Banco eliminado exitosamente!,تم حذف البنك بنجاح!,Banque supprimée avec succès !
Cash Pickup Already Exists!,Cash Pickup Already Exists!,¡El retiro en ventanilla ya existe!,الالتقاط النقدي موجود بالفعل!,Le retrait d’espèces existe déjà !
Cash Pickup Saved Successfully!,Cash Pickup Saved Successfully!,¡Recogida en ventanilla guardada correctamente!,تم حفظ عملية الاستلام النقدي بنجاح!,Collecte d'espèces enregistrée avec succès !
Cash Pickup Updated Successfully!,Cash Pickup Updated Successfully!,¡Recogida en ventanilla actualizada con éxito!,تم تحديث عملية الاستلام النقدي بنجاح!,Le retrait d'espèces a été mis à jour avec succès !
Cash Pickup record not found in our system.,Cash Pickup record not found in our system.,Registro de retiro de ventanilla no encontrado en nuestro sistema.,سجل الاستلام النقدي غير موجود في نظامنا.,Enregistrement de retrait d'espèces introuvable dans notre système.
Cash Pickup deleted successfully!,Cash Pickup deleted successfully!,¡El retiro en ventanilla se eliminó correctamente!,تم حذف عملية الاستلام النقدي بنجاح!,Le retrait d'espèces a été supprimé avec succès !
Remittance details for,Remittance details for,Detalles de remesa para,تفاصيل التحويل ل,Détails du versement pour
Remittance request approved successfully,Remittance request approved successfully,Solicitud de remesa aprobada exitosamente,تمت الموافقة على طلب التحويل بنجاح,Demande de versement approuvée avec succès
Remittance request rejected successfully,Remittance request rejected successfully,Solicitud de remesa rechazada exitosamente,تم رفض طلب التحويل بنجاح,Demande de versement rejetée avec succès
Server Information,Server Information,información del servidor,معلومات الخادم,Informations sur le serveur
Bill Pay Category,Bill Pay Category,Categoría de pago de facturas,فئة دفع الفاتورة,Catégorie de paiement de factures
Category Already Exists!,Category Already Exists!,¡La categoría ya existe!,الفئة موجودة بالفعل!,La catégorie existe déjà !
Category Saved Successfully!,Category Saved Successfully!,¡Categoría guardada exitosamente!,تم حفظ الفئة بنجاح!,Catégorie enregistrée avec succès !
Category Updated Successfully!,Category Updated Successfully!,¡Categoría actualizada con éxito!,تم تحديث الفئة بنجاح!,Catégorie mise à jour avec succès !
Category record not found in our system.,Category record not found in our system.,Registro de categoría no encontrado en nuestro sistema.,سجل الفئة غير موجود في نظامنا.,Enregistrement de catégorie introuvable dans notre système.
Category status updated successfully!,Category status updated successfully!,¡El estado de la categoría se actualizó exitosamente!,تم تحديث حالة الفئة بنجاح!,Statut de la catégorie mis à jour avec succès !
Category deleted successfully!,Category deleted successfully!,¡Categoría eliminada exitosamente!,تم حذف الفئة بنجاح!,Catégorie supprimée avec succès !
Bill Pay details for,Bill Pay details for,Detalles de pago de facturas para,تفاصيل دفع الفاتورة ل,Détails du paiement de la facture pour
Bill Pay request approved successfully,Bill Pay request approved successfully,Solicitud de pago de facturas aprobada exitosamente,تمت الموافقة على طلب دفع الفاتورة بنجاح,Demande de paiement de factures approuvée avec succès
Bill Pay request rejected successfully,Bill Pay request rejected successfully,Solicitud de pago de facturas rechazada correctamente,تم رفض طلب دفع الفاتورة بنجاح,Demande de paiement de facture rejetée avec succès
Default Template,Default Template,Plantilla predeterminada,القالب الافتراضي,Modèle par défaut
Basic settings not found!,Basic settings not found!,¡No se encontraron configuraciones básicas!,لم يتم العثور على الإعدادات الأساسية!,Paramètres de base introuvables !
Invalid KYC or KYC not found!,Invalid KYC or KYC not found!,¡KYC no válido o KYC no encontrado!,لم يتم العثور على KYC غير صالح أو KYC!,KYC invalide ou KYC introuvable !
KYC status updated successfully!,KYC status updated successfully!,¡El estado KYC se actualizó exitosamente!,تم تحديث حالة KYC بنجاح!,Statut KYC mis à jour avec succès !
Mobile Topup details for,Mobile Topup details for,Detalles de recarga móvil para,تفاصيل اشحن رصيدك المحمول ل,Détails de la recharge mobile pour
Mobile topup request rejected successfully,Mobile topup request rejected successfully,Solicitud de recarga móvil rechazada con éxito,تم رفض طلب تعبئة رصيد الهاتف المحمول بنجاح,Demande de recharge mobile rejetée avec succès
Page not found!,Page not found!,¡Página no encontrada!,الصفحة غير موجودة!,Page non trouvée!
Setup Page status updated successfully!,Setup Page status updated successfully!,¡El estado de la página de configuración se actualizó exitosamente!,تم تحديث حالة صفحة الإعداد بنجاح!,L'état de la page de configuration a été mis à jour avec succès !
Section updated successfully!,Section updated successfully!,¡Sección actualizada exitosamente!,تم تحديث القسم بنجاح!,Section mise à jour avec succès !
Merchant App Section,Merchant App Section,Sección de aplicaciones comerciales,قسم تطبيقات التاجر,Section des applications marchandes
Section item added successfully,Section item added successfully,Elemento de sección agregado exitosamente,تمت إضافة عنصر القسم بنجاح,Élément de section ajouté avec succès
Section not found!,Section not found!,¡Sección no encontrada!,لم يتم العثور على القسم!,Section introuvable !
Section item not found!,Section item not found!,¡Artículo de sección no encontrado!,لم يتم العثور على عنصر القسم!,Élément de section introuvable !
Section item delete successfully!,Section item delete successfully!,¡El elemento de la sección se eliminó correctamente!,تم حذف عنصر القسم بنجاح!,L'élément de section a été supprimé avec succès !
Developer Introduction,Developer Introduction,Introducción del desarrollador,مقدمة المطور,Présentation du développeur
Banner Floating Section,Banner Floating Section,Sección flotante de banner,قسم العائمة لافتة,Section flottante de bannière
Works Section,Works Section,Sección de Obras,قسم الأشغال,Section Travaux
